flight_id,date,origin_city,destination_city,duration_hours,distance_miles,popularity,day
117,2025-01-16,Tokyo,New York,14.7,6787,3,thursday
118,2025-01-16,London,Nairobi,8.8,4388,6,thursday
119,2025-01-16,Dubai,Nairobi,5.3,2294,9,thursday
120,2025-01-17,London,Nairobi,8.7,4276,4,friday
121,2025-01-17,Paris,London,1.6,326,4,friday
122,2025-01-17,Dubai,Paris,6.9,3489,1,friday
123,2025-01-17,Paris,Los Angeles,10.5,5927,5,friday
124,2025-01-17,Los Angeles,Sydney,15.6,7501,8,friday
125,2025-01-17,London,New York,7.5,3549,3,friday
126,2025-01-17,New York,Sydney,23.2,10080,7,friday
127,2025-01-17,Los Angeles,Singapore,15.4,8852,4,friday
128,2025-01-17,Sydney,Los Angeles,15.5,7557,6,friday
129,2025-01-18,New York,London,7.4,3521,2,saturday
130,2025-01-18,Tokyo,Paris,13.8,6047,4,saturday
131,2025-01-18,New York,Tokyo,14.3,6799,10,saturday
132,2025-01-18,Paris,London,1.5,402,1,saturday
133,2025-01-18,Paris,Singapore,14.1,7001,10,saturday
134,2025-01-18,Paris,Los Angeles,10.6,5663,1,saturday
135,2025-01-18,Tokyo,Paris,13.7,6103,9,saturday
136,2025-01-19,Tokyo,Dubai,12.3,5033,5,sunday
137,2025-01-19,Singapore,Los Angeles,15.3,8882,5,sunday
138,2025-01-19,Tokyo,London,11.6,6000,7,sunday
139,2025-01-19,London,Paris,1.7,267,4,sunday
140,2025-01-19,Lima,Los Angeles,8.7,4209,1,sunday
141,2025-01-19,New York,Sydney,23.2,9950,5,sunday
142,2025-01-19,Tokyo,Sydney,10,4899,5,sunday
143,2025-01-19,New York,Dubai,13.2,6907,4,sunday
144,2025-01-19,Los Angeles,Singapore,15.4,8927,3,sunday
145,2025-01-20,Lima,Los Angeles,8.7,4296,2,monday
146,2025-01-20,Singapore,Los Angeles,15.2,8860,5,monday
147,2025-01-20,Tokyo,Sydney,9.9,4972,8,monday
148,2025-01-20,Tokyo,Sydney,10,4962,3,monday
149,2025-01-20,Los Angeles,Tokyo,12.2,5571,10,monday
150,2025-01-20,Dubai,Tokyo,12.4,4944,10,monday
151,2025-01-20,Tokyo,London,11.8,6076,2,monday
152,2025-01-20,London,Sydney,23.4,10632,8,monday
153,2025-01-21,New York,Paris,7.7,3663,6,tuesday
154,2025-01-21,New York,Lima,8.2,3776,7,tuesday
155,2025-01-21,Sydney,New York,23.2,9956,2,tuesday
156,2025-01-21,New York,Sydney,23.6,9950,2,tuesday
157,2025-01-21,Tokyo,New York,14.3,6776,2,tuesday
158,2025-01-21,Los Angeles,Dubai,16,8439,10,tuesday
159,2025-01-21,Sydney,New York,23.1,9998,4,tuesday
160,2025-01-21,Los Angeles,Tokyo,12.1,5495,7,tuesday
161,2025-01-21,Nairobi,New York,13.8,7360,4,tuesday
162,2025-01-22,Dubai,Tokyo,12.2,4977,2,wednesday
163,2025-01-22,Sydney,London,23.7,10613,2,wednesday
164,2025-01-22,London,Dubai,7.2,3559,4,wednesday
165,2025-01-22,Sydney,Paris,22.3,10577,5,wednesday
166,2025-01-22,Dubai,Nairobi,5.3,2310,4,wednesday
167,2025-01-22,Dubai,New York,13.1,6861,3,wednesday
168,2025-01-22,Dubai,Paris,6.7,3339,2,wednesday
169,2025-01-23,Singapore,Tokyo,6.8,3341,1,thursday
170,2025-01-23,Lima,Los Angeles,8.8,4262,10,thursday
171,2025-01-23,London,Sydney,23.4,10708,4,thursday
172,2025-01-23,Tokyo,New York,14.5,6901,4,thursday
173,2025-01-23,Los Angeles,Paris,10.5,5865,2,thursday
174,2025-01-23,London,Nairobi,8.8,4248,9,thursday
175,2025-01-23,London,Los Angeles,11.3,5683,9,thursday
176,2025-01-24,Tokyo,Dubai,12.2,4993,9,friday
177,2025-01-24,Nairobi,New York,13.7,7439,1,friday
178,2025-01-24,London,Paris,1.3,221,7,friday
179,2025-01-24,London,Singapore,15.2,6821,10,friday
180,2025-01-24,New York,Los Angeles,6.4,2522,5,friday
181,2025-01-24,Los Angeles,London,11.3,5630,3,friday
182,2025-01-24,New York,Los Angeles,6.3,2520,3,friday
183,2025-01-24,Paris,Singapore,14.2,6961,7,friday
184,2025-01-25,Los Angeles,Paris,10.5,5664,3,saturday
185,2025-01-25,Sydney,Los Angeles,15.7,7675,4,saturday
186,2025-01-25,Nairobi,Paris,8.2,4168,5,saturday
187,2025-01-25,Paris,Nairobi,8.2,4066,9,saturday
188,2025-01-25,Sydney,Dubai,14.4,7503,7,saturday
189,2025-01-25,London,Tokyo,11.5,6161,1,saturday
190,2025-01-25,Lima,Los Angeles,8.8,4212,1,saturday
191,2025-01-26,Paris,London,1.4,231,7,sunday
192,2025-01-26,Paris,New York,7.5,3822,5,sunday
193,2025-01-26,Los Angeles,Sydney,15.6,7563,6,sunday
194,2025-01-26,Paris,Los Angeles,11,5700,7,sunday
195,2025-01-26,Nairobi,Paris,8.2,4048,10,sunday
196,2025-01-27,London,Nairobi,8.8,4315,4,monday
197,2025-01-27,London,Paris,1.5,323,1,monday
198,2025-01-27,Paris,Singapore,14,7184,5,monday
199,2025-01-27,Nairobi,Paris,8.2,4168,10,monday
200,2025-01-27,New York,Tokyo,14.5,6782,10,monday
201,2025-01-27,Sydney,New York,23.5,9982,8,monday
202,2025-01-27,Los Angeles,Paris,10.7,5790,8,monday
203,2025-01-27,Los Angeles,Lima,8.7,4306,2,monday
204,2025-01-27,Dubai,Sydney,14.4,7503,4,monday
205,2025-01-28,New York,Paris,7.5,3665,6,tuesday
206,2025-01-28,London,Tokyo,11.9,6069,10,tuesday
207,2025-01-28,Tokyo,Paris,13.9,6321,3,tuesday
208,2025-01-28,Nairobi,Dubai,5.3,2315,2,tuesday
209,2025-01-28,Los Angeles,Tokyo,11.9,5544,8,tuesday
210,2025-01-28,Singapore,Dubai,7.6,3810,1,tuesday
211,2025-01-28,New York,Nairobi,13.5,7453,7,tuesday
212,2025-01-28,Lima,Los Angeles,8.7,4195,5,tuesday
213,2025-01-28,Dubai,Sydney,14.6,7492,4,tuesday
214,2025-01-28,New York,Nairobi,13.7,7463,10,tuesday
215,2025-01-29,Los Angeles,Dubai,16.1,8325,3,wednesday
216,2025-01-29,Paris,Dubai,6.9,3372,10,wednesday
217,2025-01-29,Sydney,New York,23.2,9998,4,wednesday
218,2025-01-29,Nairobi,London,8.7,4336,2,wednesday
219,2025-01-29,London,Tokyo,11.6,5975,2,wednesday
220,2025-01-30,New York,Lima,8.4,3697,9,thursday
221,2025-01-30,Singapore,Tokyo,6.9,3424,9,thursday
222,2025-01-30,New York,Los Angeles,6.1,2502,7,thursday
223,2025-01-30,Dubai,Sydney,14.4,7525,8,thursday
224,2025-01-30,New York,Tokyo,14.4,6842,4,thursday
225,2025-01-30,Tokyo,Singapore,7.1,3322,9,thursday
226,2025-01-30,Singapore,Tokyo,6.9,3356,8,thursday
227,2025-01-30,Tokyo,Los Angeles,12.2,5548,2,thursday
228,2025-01-30,Dubai,London,7,3534,3,thursday
229,2025-01-31,Dubai,New York,12.9,6941,2,friday
230,2025-01-31,London,Sydney,23.4,10702,1,friday
231,2025-01-31,New York,London,7.5,3481,9,friday
232,2025-01-31,London,Dubai,7.2,3412,9,friday
233,2025-01-31,Paris,Sydney,22.6,10635,9,friday
234,2025-01-31,Tokyo,Singapore,6.8,3405,4,friday
235,2025-02-01,Tokyo,Singapore,7,3406,8,saturday
236,2025-02-01,Dubai,Los Angeles,16.1,8416,6,saturday
237,2025-02-01,Los Angeles,Sydney,15.8,7534,10,saturday
238,2025-02-01,New York,Dubai,13.2,6955,5,saturday
239,2025-02-01,Paris,Singapore,14,6994,8,saturday
240,2025-02-01,Los Angeles,Lima,8.7,4295,10,saturday
241,2025-02-01,Paris,Tokyo,14.2,6050,10,saturday
242,2025-02-02,Los Angeles,Singapore,15.8,8807,4,sunday
243,2025-02-02,Los Angeles,Paris,10.5,5790,7,sunday
244,2025-02-02,Lima,Los Angeles,8.7,4210,2,sunday
245,2025-02-02,New York,Lima,8.1,3823,7,sunday
246,2025-02-02,New York,Dubai,12.9,7057,5,sunday
247,2025-02-02,Los Angeles,Lima,9,4184,6,sunday
248,2025-02-02,Los Angeles,Paris,10.6,5646,9,sunday
249,2025-02-03,Dubai,London,7.5,3403,4,monday
250,2025-02-03,Nairobi,Paris,8.3,4122,3,monday
251,2025-02-03,Los Angeles,Paris,10.6,5676,9,monday
252,2025-02-03,Sydney,Los Angeles,15.5,7649,2,monday
253,2025-02-03,Nairobi,London,8.6,4260,7,monday
254,2025-02-04,Nairobi,Paris,8.4,4050,3,tuesday
255,2025-02-04,Los Angeles,Paris,10.5,5803,3,tuesday
256,2025-02-04,London,Sydney,23.6,10746,10,tuesday
257,2025-02-04,New York,Tokyo,14.3,6845,7,tuesday
258,2025-02-04,Nairobi,Paris,8.3,4040,7,tuesday
259,2025-02-04,London,Nairobi,8.7,4320,10,tuesday
260,2025-02-05,Dubai,Nairobi,5.2,2391,8,wednesday
261,2025-02-05,Dubai,New York,12.9,6844,1,wednesday
262,2025-02-05,Tokyo,Paris,13.8,6127,8,wednesday
263,2025-02-05,Nairobi,Paris,8.2,4039,4,wednesday
264,2025-02-05,New York,Nairobi,13.6,7358,7,wednesday
265,2025-02-05,New York,Los Angeles,6.5,2503,8,wednesday
266,2025-02-05,New York,Dubai,13.1,7068,7,wednesday
267,2025-02-05,Los Angeles,Sydney,15.6,7670,4,wednesday
268,2025-02-05,Nairobi,Dubai,5.1,2325,10,wednesday
269,2025-02-06,Tokyo,Los Angeles,12,5577,2,thursday
270,2025-02-06,Singapore,Paris,14.3,7076,7,thursday
271,2025-02-06,Los Angeles,Tokyo,12.1,5516,10,thursday
272,2025-02-06,Tokyo,Dubai,12.5,4954,10,thursday
273,2025-02-06,Tokyo,Sydney,9.9,5023,1,thursday
274,2025-02-06,Dubai,Singapore,7.6,3695,9,thursday
275,2025-02-06,London,Paris,1.3,243,4,thursday
276,2025-02-07,Paris,New York,7.5,3681,3,friday
277,2025-02-07,Singapore,Dubai,7.7,3718,6,friday
278,2025-02-07,Sydney,Tokyo,10.2,4868,7,friday
279,2025-02-07,Singapore,Paris,14.2,6990,9,friday
280,2025-02-07,Tokyo,Los Angeles,12,5487,4,friday
281,2025-02-08,Tokyo,Dubai,12.4,4943,5,saturday
282,2025-02-08,Paris,New York,7.4,3675,1,saturday
283,2025-02-08,Singapore,London,15.2,6743,8,saturday
284,2025-02-08,London,Sydney,23.5,10574,2,saturday
285,2025-02-08,Singapore,Tokyo,6.8,3398,3,saturday
286,2025-02-08,Paris,Singapore,14.2,7007,7,saturday
287,2025-02-09,Singapore,Dubai,7.6,3641,5,sunday
288,2025-02-09,London,Singapore,15.4,6839,4,sunday
289,2025-02-09,Los Angeles,London,11.3,5471,6,sunday
290,2025-02-09,Nairobi,Paris,8.2,4053,5,sunday
291,2025-02-09,Tokyo,Sydney,10,4904,4,sunday
292,2025-02-09,Paris,Los Angeles,10.5,5848,2,sunday
293,2025-02-09,Sydney,London,23.4,10574,5,sunday
294,2025-02-09,Nairobi,New York,13.7,7452,1,sunday
295,2025-02-09,Tokyo,New York,14.6,6754,10,sunday
296,2025-02-10,Sydney,Dubai,14.3,7490,2,monday
297,2025-02-10,New York,Lima,8.4,3670,9,monday
298,2025-02-10,Sydney,Los Angeles,15.5,7533,7,monday
299,2025-02-10,Dubai,Singapore,7.5,3714,3,monday
300,2025-02-10,London,Tokyo,11.7,6009,1,monday
301,2025-02-10,Los Angeles,Sydney,15.5,7634,1,monday
302,2025-02-10,New York,London,7.2,3543,3,monday
303,2025-02-11,New York,Lima,8.3,3737,2,tuesday
304,2025-02-11,Singapore,Los Angeles,15.4,8826,10,tuesday
305,2025-02-11,Tokyo,Dubai,12.4,5085,5,tuesday
306,2025-02-11,Paris,Tokyo,14,6050,4,tuesday
307,2025-02-11,Dubai,Tokyo,12.2,5004,2,tuesday
308,2025-02-12,Los Angeles,Singapore,15.5,8780,6,wednesday
309,2025-02-12,Dubai,Los Angeles,15.9,8444,8,wednesday
310,2025-02-12,Dubai,Tokyo,12.2,5012,8,wednesday
311,2025-02-12,Tokyo,New York,14.4,6834,3,wednesday
312,2025-02-12,London,Singapore,15.3,6742,1,wednesday
313,2025-02-12,Singapore,Tokyo,6.8,3575,4,wednesday
314,2025-02-12,Singapore,Dubai,7.6,3719,9,wednesday
315,2025-02-12,New York,Nairobi,13.7,7404,5,wednesday
316,2025-02-12,Los Angeles,London,11.4,5535,6,wednesday
317,2025-02-13,Dubai,Paris,6.9,3314,6,thursday
318,2025-02-13,London,Tokyo,11.9,6099,6,thursday
319,2025-02-13,New York,Nairobi,13.6,7456,9,thursday
320,2025-02-13,Los Angeles,Dubai,16.2,8385,3,thursday
321,2025-02-13,Paris,Tokyo,14,6097,2,thursday
322,2025-02-13,London,Tokyo,11.8,6144,8,thursday
323,2025-02-13,Sydney,Tokyo,10.1,4922,4,thursday
324,2025-02-13,New York,Sydney,23.2,10063,1,thursday
325,2025-02-13,Dubai,Nairobi,5.4,2561,6,thursday
326,2025-02-14,New York,Paris,7.5,3732,1,friday
327,2025-02-14,Dubai,Singapore,7.8,3762,1,friday
328,2025-02-14,New York,London,7.3,3464,3,friday
329,2025-02-14,Singapore,Tokyo,6.8,3343,4,friday
330,2025-02-14,Nairobi,Paris,8.1,4071,6,friday
331,2025-02-15,Tokyo,Sydney,10,5017,2,saturday
332,2025-02-15,New York,Dubai,13.2,6881,1,saturday
333,2025-02-15,Singapore,London,15.3,6786,1,saturday
334,2025-02-15,Dubai,Singapore,7.9,3694,5,saturday
335,2025-02-15,Nairobi,London,8.8,4260,8,saturday
336,2025-02-15,Paris,London,1.5,219,5,saturday
337,2025-02-15,London,Singapore,15.3,6891,2,saturday
338,2025-02-15,Nairobi,Dubai,5.2,2371,6,saturday
339,2025-02-15,Dubai,Paris,6.8,3312,9,saturday
340,2025-02-15,London,Singapore,15.2,6752,9,saturday
341,2025-02-16,Dubai,Nairobi,5.3,2215,1,sunday
342,2025-02-16,Los Angeles,Sydney,15.6,7520,6,sunday
343,2025-02-16,Dubai,Tokyo,12.2,4932,1,sunday
344,2025-02-16,Tokyo,Los Angeles,12.1,5630,3,sunday
345,2025-02-16,Los Angeles,Dubai,16.3,8455,4,sunday
346,2025-02-16,Los Angeles,Lima,8.7,4291,2,sunday
347,2025-02-17,Dubai,Singapore,7.9,3649,9,monday
348,2025-02-17,Tokyo,Paris,13.8,6137,6,monday
349,2025-02-17,Paris,New York,7.6,3735,4,monday
350,2025-02-17,Paris,Nairobi,8.1,4177,3,monday
351,2025-02-17,Tokyo,Los Angeles,11.9,5522,8,monday
352,2025-02-17,London,Sydney,23.5,10575,6,monday
353,2025-02-17,Singapore,Tokyo,7.2,3308,1,monday
354,2025-02-17,Los Angeles,London,11.4,5506,8,monday
355,2025-02-18,Sydney,Los Angeles,15.5,7556,1,tuesday
356,2025-02-18,Dubai,London,7.1,3457,2,tuesday
357,2025-02-18,Dubai,Nairobi,5.5,2260,2,tuesday
358,2025-02-18,New York,Los Angeles,6.3,2506,1,tuesday
359,2025-02-18,Singapore,Los Angeles,15.2,8784,3,tuesday
360,2025-02-19,London,Nairobi,8.7,4259,10,wednesday
361,2025-02-19,Dubai,New York,13,6979,7,wednesday
362,2025-02-19,New York,Sydney,23.4,10114,9,wednesday
363,2025-02-19,Lima,Los Angeles,8.7,4221,5,wednesday
364,2025-02-19,Sydney,Los Angeles,15.8,7511,2,wednesday
365,2025-02-20,New York,Lima,8.2,3684,3,thursday
366,2025-02-20,Dubai,Tokyo,12.4,5089,3,thursday
367,2025-02-20,Singapore,Paris,14.3,7066,4,thursday
368,2025-02-20,Dubai,Sydney,14.6,7605,8,thursday
369,2025-02-20,Los Angeles,Lima,8.8,4283,6,thursday
370,2025-02-20,Tokyo,Dubai,12.2,5139,6,thursday
371,2025-02-20,Singapore,Dubai,7.6,3746,2,thursday
372,2025-02-20,Tokyo,Sydney,9.9,4894,8,thursday
373,2025-02-20,Nairobi,Dubai,5.3,2274,6,thursday
374,2025-02-21,Los Angeles,Sydney,15.5,7662,4,friday
375,2025-02-21,New York,London,7.4,3504,5,friday
376,2025-02-21,Sydney,London,24.1,10699,1,friday
377,2025-02-21,London,Singapore,15.2,6782,7,friday
378,2025-02-21,Sydney,Tokyo,10.1,4949,2,friday
379,2025-02-22,London,Dubai,7.3,3441,2,saturday
380,2025-02-22,Singapore,Dubai,8,3732,7,saturday
381,2025-02-22,Paris,Los Angeles,10.5,5664,1,saturday
382,2025-02-22,New York,London,7.3,3531,1,saturday
383,2025-02-22,Sydney,Paris,22.3,10695,1,saturday
384,2025-02-22,London,New York,7.3,3527,10,saturday
385,2025-02-22,London,Singapore,15.2,6803,2,saturday
386,2025-02-22,Los Angeles,Tokyo,12,5495,4,saturday
387,2025-02-23,Sydney,Tokyo,10,5055,7,sunday
388,2025-02-23,Dubai,Los Angeles,16,8330,8,sunday
389,2025-02-23,Tokyo,Los Angeles,12,5499,3,sunday
390,2025-02-23,Singapore,Dubai,7.8,3641,5,sunday
391,2025-02-23,London,Nairobi,8.8,4276,9,sunday
392,2025-02-23,Sydney,Tokyo,10.1,5009,1,sunday
393,2025-02-23,Sydney,Dubai,14.5,7637,7,sunday
394,2025-02-23,Paris,Singapore,14.1,7074,5,sunday
395,2025-02-24,Sydney,Dubai,14.4,7548,2,monday
396,2025-02-24,Sydney,London,23.6,10613,7,monday
397,2025-02-24,Los Angeles,Paris,10.5,5721,10,monday
398,2025-02-24,Tokyo,Paris,14,6033,9,monday
399,2025-02-24,New York,Tokyo,14.3,6745,6,monday
400,2025-02-24,Los Angeles,Lima,8.8,4254,7,monday
401,2025-02-25,Nairobi,London,8.7,4552,8,tuesday
402,2025-02-25,Los Angeles,Paris,10.5,5765,7,tuesday
403,2025-02-25,London,Sydney,23.7,10706,8,tuesday
404,2025-02-25,Los Angeles,Singapore,15.2,8816,10,tuesday
405,2025-02-25,Tokyo,Dubai,12.5,5048,10,tuesday
406,2025-02-26,Tokyo,Paris,13.8,6094,3,wednesday
407,2025-02-26,Tokyo,Paris,13.7,6101,7,wednesday
408,2025-02-26,Singapore,Paris,14.1,6960,5,wednesday
409,2025-02-26,London,New York,7.7,3535,6,wednesday
410,2025-02-26,Paris,Singapore,14,7054,5,wednesday
411,2025-02-26,Los Angeles,Sydney,15.7,7526,2,wednesday
412,2025-02-26,New York,Sydney,23.2,9999,10,wednesday
413,2025-02-26,Nairobi,Paris,8.2,4028,9,wednesday
414,2025-02-26,Paris,Singapore,14.1,6970,9,wednesday
415,2025-02-27,Nairobi,New York,13.6,7475,5,thursday
416,2025-02-27,Singapore,Dubai,7.5,3808,9,thursday
417,2025-02-27,Los Angeles,Dubai,16.1,8473,2,thursday
418,2025-02-27,London,Los Angeles,11.4,5606,10,thursday
419,2025-02-27,Dubai,Los Angeles,15.9,8397,2,thursday
420,2025-02-27,New York,Lima,8.2,3864,4,thursday
421,2025-02-27,Dubai,Singapore,7.8,3713,3,thursday
422,2025-02-27,Nairobi,Paris,8.2,4285,2,thursday
423,2025-02-27,London,Los Angeles,11.5,5555,3,thursday
424,2025-02-27,London,Los Angeles,11.3,5510,8,thursday
425,2025-02-28,Los Angeles,Lima,8.8,4180,5,friday
426,2025-02-28,London,New York,7.4,3650,4,friday
427,2025-02-28,Nairobi,Dubai,5.3,2304,4,friday
428,2025-02-28,Singapore,Los Angeles,15.3,8810,8,friday
429,2025-02-28,Tokyo,New York,14.7,6833,3,friday
430,2025-02-28,Los Angeles,Dubai,15.9,8490,2,friday
431,2025-02-28,Paris,Singapore,14.1,7049,10,friday
432,2025-02-28,Lima,New York,8.3,3717,10,friday
433,2025-03-01,Tokyo,London,11.6,6111,5,saturday
434,2025-03-01,Paris,Singapore,14.3,7044,2,saturday
435,2025-03-01,Sydney,New York,23.2,9961,1,saturday
436,2025-03-01,Los Angeles,London,11.5,5527,2,saturday
437,2025-03-01,New York,Dubai,13.3,7063,9,saturday
438,2025-03-01,Los Angeles,New York,6.6,2464,1,saturday
439,2025-03-01,Sydney,Dubai,14.4,7581,2,saturday
440,2025-03-01,Dubai,Tokyo,12.4,5054,6,saturday
441,2025-03-02,London,Dubai,7.3,3413,8,sunday
442,2025-03-02,Los Angeles,Tokyo,11.9,5519,5,sunday
443,2025-03-02,Nairobi,New York,13.7,7449,4,sunday
444,2025-03-02,Singapore,London,15.3,6800,7,sunday
445,2025-03-02,New York,Nairobi,13.5,7417,4,sunday
